Model,Replication,Accuracy,F1 Score,ROC AUC,Recall,Best Parameters
Logistic Regression,1,0.9720,0.9740,0.9958,0.9868,"{'C': 10, 'max_iter': 10000}"
SVC,1,0.9755,0.9756,0.9957,0.9859,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,2,0.9860,0.9868,0.9976,0.9868,"{'C': 10, 'max_iter': 10000}"
SVC,2,0.9860,0.9872,0.9988,1.0000,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,3,0.9825,0.9811,0.9982,0.9924,"{'C': 10, 'max_iter': 10000}"
SVC,3,0.9685,0.9705,0.9944,0.9737,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,4,0.9720,0.9732,0.9976,0.9797,"{'C': 10, 'max_iter': 10000}"
SVC,4,0.9720,0.9733,0.9978,0.9669,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,5,0.9790,0.9779,0.9948,0.9779,"{'C': 10, 'max_iter': 10000}"
SVC,5,0.9650,0.9655,0.9923,0.9459,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,6,0.9895,0.9902,0.9938,1.0000,"{'C': 10, 'max_iter': 10000}"
SVC,6,0.9860,0.9851,0.9955,1.0000,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,7,0.9790,0.9809,0.9983,0.9809,"{'C': 10, 'max_iter': 10000}"
SVC,7,0.9615,0.9619,0.9951,0.9720,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,8,0.9790,0.9793,0.9962,0.9861,"{'C': 10, 'max_iter': 10000}"
SVC,8,0.9685,0.9665,0.9932,0.9774,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,9,0.9650,0.9658,0.9962,0.9792,"{'C': 10, 'max_iter': 10000}"
SVC,9,0.9685,0.9665,0.9910,0.9848,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,10,0.9720,0.9710,0.9967,0.9781,"{'C': 10, 'max_iter': 10000}"
SVC,10,0.9685,0.9684,0.9939,0.9928,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,11,0.9825,0.9814,0.9988,0.9778,"{'C': 10, 'max_iter': 10000}"
SVC,11,0.9790,0.9784,0.9965,0.9927,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,12,0.9685,0.9665,0.9892,0.9848,"{'C': 10, 'max_iter': 10000}"
SVC,12,0.9790,0.9792,0.9955,0.9930,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,13,0.9930,0.9932,0.9998,0.9932,"{'C': 10, 'max_iter': 10000}"
SVC,13,0.9790,0.9787,0.9943,0.9928,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,14,0.9825,0.9813,0.9983,0.9850,"{'C': 10, 'max_iter': 10000}"
SVC,14,0.9825,0.9837,0.9909,0.9934,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,15,0.9720,0.9722,0.9976,0.9722,"{'C': 10, 'max_iter': 10000}"
SVC,15,0.9720,0.9726,0.9942,0.9793,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,16,0.9825,0.9829,0.9962,0.9796,"{'C': 10, 'max_iter': 10000}"
SVC,16,0.9685,0.9686,0.9959,0.9789,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,17,0.9685,0.9686,0.9960,0.9789,"{'C': 10, 'max_iter': 10000}"
SVC,17,0.9860,0.9867,0.9980,0.9933,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,18,0.9580,0.9580,0.9932,0.9580,"{'C': 1, 'max_iter': 10000}"
SVC,18,0.9720,0.9714,0.9934,0.9714,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,19,0.9685,0.9675,0.9894,0.9853,"{'C': 10, 'max_iter': 10000}"
SVC,19,0.9720,0.9716,0.9919,0.9856,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
Logistic Regression,20,0.9685,0.9665,0.9930,0.9848,"{'C': 10, 'max_iter': 10000}"
SVC,20,0.9685,0.9691,0.9956,1.0000,"{'coef0': 0, 'degree': 3, 'gamma': 'scale'}"
